WF10PB2	WF10PB2
WF10PB1	WF10PB1
WF10PA	WF10PA
WF10HA	WF10HA
WF10NP	WF10NP
WF10NA	WF10NA
WF10M	WF10M
WF10NS	WF10NS
mVarPB2	mVarPB2
mVarPB1	mVarPB1
mVarPA	mVarPA
mVarHA	mVarHA
mVarNP	mVarNP
mVarNA	mVarNA
mVarM	mVarM
mVarNS	mVarNS
mHelperPB2	mHelperPB2
mHelperPB1	mHelperPB1
mHelperPA	mHelperPA
mHelperHA	mHelperHA
mHelperNP	mHelperNP
mHelperNA	mHelperNA
mHelperM	mHelperM
mHelperNS	mHelperNS
ENSCAFG00000029674	ENSCAFG00000029674
ENSCAFG00000044010	ENSCAFG00000044010
ENSCAFG00000041333	ENSCAFG00000041333
ENSCAFG00000010945	PPP2R3B
ENSCAFG00000028761	ENSCAFG00000028761
ENSCAFG00000010931	GTPBP6
ENSCAFG00000048591	ENSCAFG00000048591
ENSCAFG00000010966	SHOX
ENSCAFG00000011034	CRLF2
ENSCAFG00000011041	CSF2RA
ENSCAFG00000031295	ENSCAFG00000031295
ENSCAFG00000011047	IL3RA
ENSCAFG00000010987	SLC25A6
ENSCAFG00000024670	ASMT
ENSCAFG00000030459	ENSCAFG00000030459
ENSCAFG00000029462	ENSCAFG00000029462
ENSCAFG00000015291	ASMTL
ENSCAFG00000011067	DHRSX
ENSCAFG00000011075	ZBED1
ENSCAFG00000011091	XG
ENSCAFG00000011113	GYG2
ENSCAFG00000024515	ARSH
ENSCAFG00000011163	ARSF
ENSCAFG00000011180	MXRA5
ENSCAFG00000011187	PRKX
ENSCAFG00000011192	ENSCAFG00000011192
ENSCAFG00000028745	OBP
ENSCAFG00000011251	ENSCAFG00000011251
ENSCAFG00000011278	PUDP
ENSCAFG00000011287	STS
ENSCAFG00000028605	PNPLA4
ENSCAFG00000047173	ENSCAFG00000047173
ENSCAFG00000011318	ANOS1
ENSCAFG00000011362	ENSCAFG00000011362
ENSCAFG00000044896	GPR143
ENSCAFG00000011388	SHROOM2
ENSCAFG00000011393	CLDN34
ENSCAFG00000011461	WWC3
ENSCAFG00000011537	CLCN4
ENSCAFG00000011570	MID1
ENSCAFG00000048180	ENSCAFG00000048180
ENSCAFG00000011591	HCCS
ENSCAFG00000011595	ARHGAP6
ENSCAFG00000011602	AMELX
